N,P,K,temperature,humidity,ph,rainfall,label
81.6,42.9,31.9,32.95,47.11,7.08,43.3,sorghum
51.0,30.9,48.8,17.01,67.1,5.99,20.96,garlic
166.2,43.9,51.0,26.58,85.92,6.47,112.59,sugarcane
45.4,67.8,79.6,18.92,10.0,7.3,51.05,chickpea
40.3,38.5,32.9,24.57,56.74,7.16,41.63,fingermillet
16.2,67.5,21.7,21.33,22.36,6.16,78.33,kidneybeans
50.9,75.4,20.3,32.43,67.99,7.85,74.43,blackgram
49.1,89.5,27.9,25.08,85.92,6.05,98.35,banana
114.2,35.9,36.8,25.33,81.49,6.11,235.85,rice
23.2,139.7,215.3,21.78,91.53,6.31,176.8,apple
56.1,39.4,51.9,17.28,38.68,5.78,65.23,garlic
103.2,35.6,24.7,18.68,63.19,7.11,28.58,mustard
7.1,74.7,21.1,21.04,57.01,5.8,136.47,soybean
85.8,76.8,69.3,24.34,71.43,6.36,94.6,tomato
146.2,39.5,21.8,29.2,78.02,6.72,181.63,sugarcane
32.3,45.4,29.3,30.2,45.39,5.69,169.0,pigeonpeas
13.3,16.6,23.2,29.67,96.91,5.46,208.49,coconut
25.7,24.2,41.7,23.04,89.05,6.19,109.24,pomegranate
24.8,23.6,25.5,21.96,91.38,7.24,67.45,pomegranate
64.2,16.7,47.7,23.96,84.23,6.88,47.04,watermelon
61.4,80.2,27.3,24.68,46.45,5.93,44.16,sunflower
54.3,29.4,44.5,19.59,56.98,6.58,71.14,wheat
46.3,33.4,50.2,10.1,54.26,6.68,45.36,garlic
24.9,83.0,14.0,25.24,56.17,5.41,174.34,pigeonpeas
98.9,41.0,41.7,27.24,82.91,6.66,167.42,sugarcane
128.3,54.7,66.5,28.41,78.89,6.59,59.63,banana
20.8,19.3,56.7,24.31,85.99,6.5,74.27,pomegranate
10.4,56.2,29.7,28.08,66.38,6.56,73.92,groundnut
123.9,57.9,29.8,20.03,80.44,6.25,97.83,cotton
54.4,61.2,68.9,33.95,90.93,6.23,210.88,papaya
30.5,46.4,16.0,22.62,85.77,7.16,48.27,mungbean
123.8,58.9,41.7,9.99,44.28,6.91,45.84,mustard
29.5,37.5,23.2,31.19,61.55,4.72,108.14,fingermillet
78.1,42.4,61.2,23.03,49.19,6.87,49.06,onion
29.5,146.8,191.3,20.31,77.27,6.59,73.15,grapes
97.0,56.8,39.9,19.71,66.59,6.27,75.07,wheat
21.0,79.9,68.4,19.18,22.0,7.2,64.79,chickpea
102.3,14.1,67.4,34.54,90.33,7.5,15.85,muskmelon
15.4,35.0,38.7,19.94,81.12,6.2,84.25,fingermillet
20.1,75.4,23.8,26.14,74.86,6.64,61.65,soybean
28.0,39.3,24.4,23.61,50.41,6.26,150.54,pigeonpeas
29.1,23.8,22.2,17.83,90.62,6.78,75.03,pomegranate
43.2,41.1,93.7,16.23,80.23,5.28,73.44,potato
81.5,41.8,38.5,18.79,50.91,6.41,36.47,onion
37.5,68.2,66.8,25.09,92.7,5.63,182.09,ginger
97.7,64.4,61.4,23.28,56.43,7.23,64.24,onion
103.7,88.2,20.7,26.31,82.73,5.98,63.79,banana
