Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
38.0,Sandy,Maize,37,0,0,Urea
45.0,Loamy,Sugarcane,12,0,36,DAP
62.0,Black,Cotton,7,9,30,14-35-14
34.0,Red,Tobacco,22,0,20,28-28
46.0,Clayey,Paddy,35,0,0,Urea
35.0,Sandy,Barley,12,10,13,17-17-17
64.0,Red,Cotton,9,0,10,20-20
50.0,Loamy,Wheat,41,0,0,Urea
42.0,Sandy,Millets,21,0,18,28-28
33.0,Black,Oil seeds,9,7,30,14-35-14
28.0,Clayey,Pulses,13,0,40,DAP
48.0,Sandy,Maize,14,15,12,17-17-17
65.0,Loamy,Cotton,36,0,0,Urea
41.0,Clayey,Paddy,24,0,22,28-28
31.0,Red,Ground Nuts,14,0,41,DAP
49.0,Black,Sugarcane,10,13,14,17-17-17
34.0,Clayey,Pulses,38,0,0,Urea
39.0,Sandy,Barley,21,0,19,28-28
65.0,Black,Cotton,39,0,0,Urea
52.0,Loamy,Wheat,13,0,36,DAP
44.0,Sandy,Millets,10,0,9,20-20
53.0,Loamy,Sugarcane,12,14,12,17-17-17
33.0,Red,Tobacco,11,0,37,DAP
37.0,Black,Millets,36,0,0,Urea
39.0,Clayey,Paddy,13,0,10,20-20
44.0,Sandy,Maize,23,0,20,28-28
63.0,Red,Cotton,9,9,29,14-35-14
30.0,Loamy,Sugarcane,38,0,0,Urea
32.0,Black,Oil seeds,12,0,39,DAP
36.0,Clayey,Pulses,14,0,13,20-20
40.0,Red,Ground Nuts,24,0,23,28-28
27.0,Loamy,Sugarcane,12,0,40,DAP
38.0,Clayey,Paddy,39,0,0,Urea
38.0,Sandy,Barley,7,9,30,14-35-14
48.0,Loamy,Wheat,23,0,19,28-28
35.0,Black,Millets,41,0,0,Urea
61.0,Loamy,Cotton,8,10,31,14-35-14
37.0,Clayey,Paddy,12,0,41,DAP
26.0,Red,Ground Nuts,15,14,11,17-17-17
34.0,Sandy,Millets,15,0,37,DAP
30.0,Clayey,Pulses,13,0,13,20-20
58.0,Loamy,Sugarcane,10,7,32,14-35-14
34.0,Red,Tobacco,22,0,24,28-28
60.0,Black,Sugarcane,35,0,0,Urea
42.0,Sandy,Barley,10,0,35,DAP
48.0,Loamy,Wheat,8,8,28,14-35-14
32.0,Black,Oil seeds,12,0,8,20-20
43.0,Clayey,Paddy,24,0,18,28-28
29.0,Red,Ground Nuts,41,0,0,Urea
51.0,Sandy,Maize,5,9,29,14-35-14
31.0,Red,Tobacco,23,0,21,28-28
33.0,Black,Oil seeds,13,0,14,20-20
38.0,Clayey,Pulses,40,0,0,Urea
47.0,Sandy,Barley,12,0,42,DAP
63.0,Red,Cotton,11,12,15,17-17-17
43.0,Black,Millets,23,0,24,28-28
54.0,Loamy,Wheat,38,0,0,Urea
37.0,Sandy,Millets,8,0,15,20-20
